ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
95,TestControllerAgent_MissReward(Clone),1,4,19,0,0
95,TestTotalAgent_Origin(Clone),0,0,22,4,1
96,TestControllerAgent_MissReward(Clone),1,4,8,0,0
96,TestTotalAgent_Origin(Clone),0,0,12,4,1
97,TestControllerAgent_MissReward(Clone),1,4,11,1,0
97,TestTotalAgent_Origin(Clone),0,1,14,4,1
98,TestControllerAgent_MissReward(Clone),1,4,7,0,0
98,TestTotalAgent_Origin(Clone),0,0,11,4,1
99,TestControllerAgent_MissReward(Clone),1,4,7,1,0
99,TestTotalAgent_Origin(Clone),0,1,9,4,1
100,TestControllerAgent_MissReward(Clone),1,4,12,2,0
100,TestTotalAgent_Origin(Clone),0,2,14,4,1
101,TestControllerAgent_MissReward(Clone),1,4,5,3,0
101,TestTotalAgent_Origin(Clone),0,3,6,4,1
102,TestControllerAgent_MissReward(Clone),1,4,8,1,0
102,TestTotalAgent_Origin(Clone),0,1,11,4,1
103,TestControllerAgent_MissReward(Clone),1,4,10,2,0
103,TestTotalAgent_Origin(Clone),0,2,12,4,1
104,TestControllerAgent_MissReward(Clone),1,4,5,1,0
104,TestTotalAgent_Origin(Clone),0,1,7,4,1
105,TestControllerAgent_MissReward(Clone),0,0,19,4,1
105,TestTotalAgent_Origin(Clone),1,4,16,0,0
106,TestControllerAgent_MissReward(Clone),1,4,29,2,0
106,TestTotalAgent_Origin(Clone),0,2,37,4,1
107,TestControllerAgent_MissReward(Clone),1,4,8,1,0
107,TestTotalAgent_Origin(Clone),0,1,10,4,1
108,TestControllerAgent_MissReward(Clone),1,4,24,3,0
108,TestTotalAgent_Origin(Clone),0,3,37,4,1
109,TestControllerAgent_MissReward(Clone),1,4,10,2,0
109,TestTotalAgent_Origin(Clone),0,2,12,4,1
110,TestControllerAgent_MissReward(Clone),1,4,12,0,0
110,TestTotalAgent_Origin(Clone),0,0,15,4,1
111,TestControllerAgent_MissReward(Clone),1,4,26,0,0
111,TestTotalAgent_Origin(Clone),0,0,29,4,1
112,TestControllerAgent_MissReward(Clone),0,0,26,4,1
112,TestTotalAgent_Origin(Clone),1,4,22,0,0
113,TestControllerAgent_MissReward(Clone),1,4,8,0,0
113,TestTotalAgent_Origin(Clone),0,0,11,4,1
114,TestControllerAgent_MissReward(Clone),1,4,7,1,0
114,TestTotalAgent_Origin(Clone),0,1,9,4,1
115,TestControllerAgent_MissReward(Clone),1,4,9,0,0
115,TestTotalAgent_Origin(Clone),0,0,13,4,1
116,TestControllerAgent_MissReward(Clone),1,4,6,1,0
116,TestTotalAgent_Origin(Clone),0,1,9,4,1
117,TestControllerAgent_MissReward(Clone),1,4,18,0,0
117,TestTotalAgent_Origin(Clone),0,0,21,4,1
118,TestControllerAgent_MissReward(Clone),1,4,12,2,0
118,TestTotalAgent_Origin(Clone),0,2,13,4,1
119,TestControllerAgent_MissReward(Clone),1,4,6,0,0
119,TestTotalAgent_Origin(Clone),0,0,10,4,1
120,TestControllerAgent_MissReward(Clone),1,4,27,2,0
120,TestTotalAgent_Origin(Clone),0,2,28,4,1
121,TestControllerAgent_MissReward(Clone),1,4,31,0,0
121,TestTotalAgent_Origin(Clone),0,0,34,4,1
122,TestControllerAgent_MissReward(Clone),1,4,8,1,0
122,TestTotalAgent_Origin(Clone),0,1,10,4,1
123,TestControllerAgent_MissReward(Clone),1,4,9,0,0
123,TestTotalAgent_Origin(Clone),0,0,12,4,1
124,TestControllerAgent_MissReward(Clone),1,4,8,1,0
124,TestTotalAgent_Origin(Clone),0,1,11,4,1
125,TestControllerAgent_MissReward(Clone),1,4,24,3,0
125,TestTotalAgent_Origin(Clone),0,3,25,4,1
126,TestControllerAgent_MissReward(Clone),1,4,7,2,0
126,TestTotalAgent_Origin(Clone),0,2,8,4,1
127,TestControllerAgent_MissReward(Clone),1,4,14,2,0
127,TestTotalAgent_Origin(Clone),0,2,15,4,1
128,TestControllerAgent_MissReward(Clone),1,4,19,0,0
128,TestTotalAgent_Origin(Clone),0,0,26,4,1
129,TestControllerAgent_MissReward(Clone),1,4,3,1,0
129,TestTotalAgent_Origin(Clone),0,1,5,4,1
130,TestControllerAgent_MissReward(Clone),1,4,29,2,0
130,TestTotalAgent_Origin(Clone),0,2,30,4,1
131,TestControllerAgent_MissReward(Clone),1,4,7,0,0
131,TestTotalAgent_Origin(Clone),0,0,10,4,1
132,TestControllerAgent_MissReward(Clone),0,3,31,4,1
132,TestTotalAgent_Origin(Clone),1,4,31,3,0
133,TestControllerAgent_MissReward(Clone),1,4,12,2,0
133,TestTotalAgent_Origin(Clone),0,2,13,4,1
134,TestControllerAgent_MissReward(Clone),1,4,9,0,0
134,TestTotalAgent_Origin(Clone),0,0,12,4,1
135,TestControllerAgent_MissReward(Clone),0,1,9,4,1
