열1,열2,열3,열4,열5,열6,열7,열8
133,TestTotalAgent_MissReward(Clone),0,1,115,0,0,2978.433
134,TestControllerAgent_MissReward(Clone),1,4,17,0,0,10.12305
134,TestTotalAgent_MissReward(Clone),0,0,20,4,1,2988.556
135,TestControllerAgent_MissReward(Clone),1,4,36,1,0,22.16931
135,TestTotalAgent_MissReward(Clone),0,1,42,4,1,3010.727
136,TestControllerAgent_MissReward(Clone),1,4,20,2,0,11.98344
136,TestTotalAgent_MissReward(Clone),0,2,21,4,1,3022.71
137,TestControllerAgent_MissReward(Clone),1,4,5,1,0,4.54731
137,TestTotalAgent_MissReward(Clone),0,1,7,4,1,3027.257
138,TestControllerAgent_MissReward(Clone),1,4,93,1,0,50.87417
138,TestTotalAgent_MissReward(Clone),0,1,98,4,1,3078.133
139,TestControllerAgent_MissReward(Clone),1,4,38,1,0,22.14486
139,TestTotalAgent_MissReward(Clone),0,1,41,4,1,3100.276
140,TestControllerAgent_MissReward(Clone),1,4,16,0,0,9.991355
140,TestTotalAgent_MissReward(Clone),0,0,19,4,1,3110.267
141,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.008858
141,TestTotalAgent_MissReward(Clone),0,0,12,4,1,3116.275
142,TestControllerAgent_MissReward(Clone),1,4,27,2,0,15.46086
142,TestTotalAgent_MissReward(Clone),0,2,27,4,1,3131.738
143,TestControllerAgent_MissReward(Clone),1,4,62,2,0,38.17538
143,TestTotalAgent_MissReward(Clone),0,2,72,4,1,3169.914
144,TestControllerAgent_MissReward(Clone),1,4,16,0,0,10.19409
144,TestTotalAgent_MissReward(Clone),0,0,19,4,1,3180.109
145,TestControllerAgent_MissReward(Clone),1,4,33,0,0,18.74767
145,TestTotalAgent_MissReward(Clone),0,0,37,4,1,3198.857
146,TestControllerAgent_MissReward(Clone),1,4,46,1,0,26.74176
146,TestTotalAgent_MissReward(Clone),0,1,50,4,1,3225.599
147,TestControllerAgent_MissReward(Clone),1,4,12,1,0,7.984433
147,TestTotalAgent_MissReward(Clone),0,1,15,4,1,3233.584
148,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.53472
148,TestTotalAgent_MissReward(Clone),0,1,17,4,1,3243.118
149,TestControllerAgent_MissReward(Clone),1,4,24,1,0,14.16896
149,TestTotalAgent_MissReward(Clone),0,1,26,4,1,3257.288
150,TestControllerAgent_MissReward(Clone),1,4,27,1,0,22.14548
150,TestTotalAgent_MissReward(Clone),0,1,40,4,1,3279.435
151,TestControllerAgent_MissReward(Clone),1,4,48,2,0,28.48576
151,TestTotalAgent_MissReward(Clone),0,2,52,4,1,3307.92
152,TestControllerAgent_MissReward(Clone),1,4,12,3,0,8.028801
152,TestTotalAgent_MissReward(Clone),0,3,12,4,1,3315.949
153,TestControllerAgent_MissReward(Clone),1,4,25,0,0,14.48388
153,TestTotalAgent_MissReward(Clone),0,0,28,4,1,3330.433
154,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.508215
154,TestTotalAgent_MissReward(Clone),0,0,15,4,1,3337.94
155,TestControllerAgent_MissReward(Clone),1,4,31,1,0,17.67364
155,TestTotalAgent_MissReward(Clone),0,1,33,4,1,3355.615
156,TestControllerAgent_MissReward(Clone),1,4,33,2,0,18.53557
156,TestTotalAgent_MissReward(Clone),0,2,33,4,1,3374.149
157,TestControllerAgent_MissReward(Clone),0,1,92,1,0,60.11162
157,TestTotalAgent_MissReward(Clone),0,1,114,1,0,3434.264
158,TestControllerAgent_MissReward(Clone),1,4,6,2,0,5.048371
158,TestTotalAgent_MissReward(Clone),0,2,7,4,1,3439.312
159,TestControllerAgent_MissReward(Clone),0,2,98,2,0,60.07981
159,TestTotalAgent_MissReward(Clone),0,2,113,2,0,3499.392
160,TestControllerAgent_MissReward(Clone),1,4,36,1,0,19.94488
160,TestTotalAgent_MissReward(Clone),0,1,38,4,1,3519.335
161,TestControllerAgent_MissReward(Clone),1,4,33,1,0,22.64177
161,TestTotalAgent_MissReward(Clone),0,1,40,4,1,3541.979
162,TestControllerAgent_MissReward(Clone),1,4,11,1,0,7.901746
162,TestTotalAgent_MissReward(Clone),0,1,14,4,1,3549.88
163,TestControllerAgent_MissReward(Clone),0,3,93,0,0,60.02368
163,TestTotalAgent_MissReward(Clone),0,0,115,3,0,3609.903
164,TestControllerAgent_MissReward(Clone),0,1,102,3,0,60.00028
164,TestTotalAgent_MissReward(Clone),0,3,112,1,0,3669.905
165,TestControllerAgent_MissReward(Clone),1,4,26,0,0,14.11834
